created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 19 19:10:24 +0000 2023;1692977330514436420;"@clooudbrain Ketahuan gibran metong lu lang gila bgt bjir";0;0;0;0;in;1540322561002975232;1503958489537810433;onlyalfi_;https://twitter.com/onlyalfi_/status/1692977330514436420
Sat Aug 19 19:05:29 +0000 2023;1692976093207372255;"@HusinShihab @ganjarpranowo @gibran_tweet Bakalan 1 putaran dan menang telak";0;0;0;0;in;1603981447521800192;1692815700010950780;PaskRoony;https://twitter.com/PaskRoony/status/1692976093207372255
Sat Aug 19 19:04:50 +0000 2023;1692975930887819762;"@gibran_tweet Andaikan mas Gibran bikin partai sendiri pasti dunia persilatan akan semakin seru dan berwarna 😃";0;0;0;0;in;249937579;1692852131756495231;zakyazhar;https://twitter.com/zakyazhar/status/1692975930887819762
Sat Aug 19 18:58:21 +0000 2023;1692974299588767864;"@gibran_tweet Yang belum mana saja Naruto?";0;0;0;0;in;1255864837667618816;1692927588732465285;Laode_Munu;https://twitter.com/Laode_Munu/status/1692974299588767864
Sat Aug 19 18:57:25 +0000 2023;1692974065441718502;"Prabowo Makin Caper ke Jokowi, Asik Makan Malam-Nyanyi Bareng Relawan Gibran di Solo Mantap Gus Malam Minggu Malming Pak SBY Pendiem https://t.co/0dK45odBec";0;2;4;7;in;1532580265193017345;1692974065441718502;natasha_nia8;https://twitter.com/natasha_nia8/status/1692974065441718502
Sat Aug 19 18:52:37 +0000 2023;1692972858149077080;"@ulinyusron @gibran_tweet Pasukan tukang maksa";0;0;0;0;in;1378656980605149185;1692811349028651231;alhadad_alwy;https://twitter.com/alhadad_alwy/status/1692972858149077080
Sat Aug 19 18:43:38 +0000 2023;1692970597545062731;"@eginahrd @kawasiou Gak dong. Emangnya aku Gibran. 🤭";0;0;0;0;in;2759002649;1692966848181235877;jannecis;https://twitter.com/jannecis/status/1692970597545062731
Sat Aug 19 18:40:25 +0000 2023;1692969784693100730;"@HusinShihab @ganjarpranowo @gibran_tweet Luar biasa Indonesia, tdk memenuhi syarat? ganti aturannya 😂😅😂 negeri koplak";0;0;0;2;in;1635083361718013952;1692815700010950780;kemiskliwon79;https://twitter.com/kemiskliwon79/status/1692969784693100730
Sat Aug 19 18:38:57 +0000 2023;1692969415359541352;"@gibran_tweet Apa bedanya surakarta sama singapore,podo wae........";0;0;0;0;in;1517983314275053568;1692932137216098422;BudiSan42575424;https://twitter.com/BudiSan42575424/status/1692969415359541352
Sat Aug 19 18:33:47 +0000 2023;1692968117084033270;"@kawasiou @gibrathn Suruh bikin sendri aja kalau Gibran mah.";0;1;0;0;in;2759002649;1692961746867368424;jannecis;https://twitter.com/jannecis/status/1692968117084033270
