"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Jan 25 12:20:35 +0000 2024","1750493869136027770","Dengan majunya Gibran sebagai cawapres  memang sangat susah menampik bahwa ayahnya yg sekaligus Presiden tidak berpihak. sudah waktunya Presiden cuti dan mengampanyekan sang anak tercinta.   Untuk sementara biar Kiai Ma'ruf Amin yg menjadi wasit dan penengah pertandingan.","0","5","3","56","in","3187162939","1750493869136027770","husain_fahasbu","https://twitter.com/husain_fahasbu/status/1750493869136027770","","Indonesia "
"Thu Jan 25 10:52:37 +0000 2024","1750471729196204247","Kepekaan Publik Sekali Putaran . Hasil besar dgn dalih disemua lembaga survei yg kredible sdh mengkonfirmasinya dmn empati publik tergerak ketika perundungan dipertontonkan  saya meyakini jika pasangan Prabowo Gibran akan memenangkan Pilpres 2024 sekali putaran saja yg mana itu… https://t.co/p4rI6hCWzi","2","34","107","128","in","3103394935","1750471729196204247","roman_paqr","https://twitter.com/roman_paqr/status/1750471729196204247","https://pbs.twimg.com/ext_tw_video_thumb/1750471484592848896/pu/img/cl0EQ_W13ZF5fLrl.jpg","ℭιяۼвση, ⦕ ĵαωα Ƀαᴚαт ™ ⦖"
"Thu Jan 25 11:19:15 +0000 2024","1750478431836598408","Turnip akan segera membuat sekuel Jokowi: Man of Contradictions yaitu Gibran: Son of a Man of Contradictions","0","3","13","72","in","1682607464326508544","1750478431836598408","aimr0d","https://twitter.com/aimr0d/status/1750478431836598408","","Dongo, Lombardia"
"Thu Jan 25 14:58:00 +0000 2024","1750533482261156299","@neohistoria_id @gibran_tweet @maybezahraaa Tim medsos 02 ini kurang tanggap terhadap isu isu terkini  terkesan kaku dan cringe di medsos hhhhhhh","32","55","275","6696","in","1694272639613984768","1750531020519248195","nefretch","https://twitter.com/nefretch/status/1750533482261156299","",""
"Thu Jan 25 14:15:51 +0000 2024","1750522876195996072","Prof @mohmahfudmd dilaporkan ke @bawaslu_RI karena dituding menghina anak pak lurah @gibran_tweet  Udah receh  ngawur  baper lagi 🤪 https://t.co/C9vQvNDWCK","2","7","19","47","in","929287558281830400","1750522876195996072","yaniarsim","https://twitter.com/yaniarsim/status/1750522876195996072","https://pbs.twimg.com/ext_tw_video_thumb/1750522822223613952/pu/img/ErB6GIJ1g8WBgjd_.jpg","Indonesia"
"Thu Jan 25 08:36:38 +0000 2024","1750437511657328942","Kami adalah sedikit diantara pendukung 02 yg berpikir akan terjadi dua putaran  tapi dilihat dari trendnya tampaknya Prabowo-Gibran menang satu putaran semakin mendekati kenyataan. Bisa jadi kami salah tapi apapun hasilnya kita harus hormati pilihan rakyat.","27","334","135","959","in","869327120","1750437511657328942","PartaiSocmed","https://twitter.com/PartaiSocmed/status/1750437511657328942","","Indonesia"
"Thu Jan 25 21:26:07 +0000 2024","1750631155181998436","Viral Bansos Bulog Ditempeli Stiker Prabowo-Gibran  Ini Kata KPK https://t.co/JwNNr95vZ6 #News","3","14","12","40","in","47596019","1750631155181998436","liputan6dotcom","https://twitter.com/liputan6dotcom/status/1750631155181998436","","Jakarta"
"Fri Jan 26 02:55:00 +0000 2024","1750713921512865945","keren banget paslon 02 yang dapat survei tinggi dibandingkan paslon lainnya  @prabowo @gibran_tweet #JatengGasPolll https://t.co/ICx1cs6PaJ","0","0","0","0","in","1708789974127280128","1750713921512865945","DeaImey","https://twitter.com/DeaImey/status/1750713921512865945","https://pbs.twimg.com/media/GEvDZ4cbsAEy3IC.jpg",""
"Fri Jan 26 02:55:00 +0000 2024","1750713924218171423","Elektabilitas makin stabil dan yakin @prabowo dan @gibran_tweet memang di pilpres mendatang.  #JatengGasPolll https://t.co/WRa0NAVoSq","0","0","0","0","in","1686577398056427520","1750713924218171423","cpitik17","https://twitter.com/cpitik17/status/1750713924218171423","https://pbs.twimg.com/media/GEvJCQTa4AAr-dH.jpg",""
"Thu Jan 25 08:13:07 +0000 2024","1750431590893908248","Dulu  aku merasa aneh sama orang yang mau memilih Prabowo. Sekarang  jadi tambah aneh sama orang yang masih mau aja memilih Prabowo  padahal ada Gibran.","6","26","59","174","in","68331085","1750431590893908248","Stakof","https://twitter.com/Stakof/status/1750431590893908248","","Kadipaten Japara Hadiningrat"
